06/01/2017 15:16:08 ----------- Inicio processamento: 06/01/2017 15:16:08
06/01/2017 15:45:31 ; ERRO ; 500 ; 579530 ; GET ; http://brux0338:9200/esb/services/NotificarEventoDigitalizacaoDocumentacaov1?wsdl
06/01/2017 15:45:31 ; ERRO ; 500 ; 315540 ; GET ; http://brux0338:9200/esb/services/CadastrarUsuarioExternov2?wsdl
06/01/2017 15:45:31 ; ERRO ; 500 ; 201409 ; GET ; http://brux0338:9200/esb/services/ConsultarOrdemVendav1?wsdl
06/01/2017 15:45:32 ; SUCC ; 200 ; 80413 ; GET ; http://brux0338:9200/esb/services/ListarServicosAgregadoresAssinantev1?wsdl
06/01/2017 15:45:32 ; SUCC ; 200 ; 1043 ; GET ; http://brux0338:9200/esb/services/ListarMotivosSituacaoPromocaov1?wsdl
06/01/2017 15:45:32 ; SUCC ; 200 ; 1084 ; GET ; http://brux0338:9200/esb/services/GerarMemorandov1?wsdl
06/01/2017 15:45:34 ; ERRO ; 500 ; 406013 ; GET ; http://brux0338:9200/esb/services/DesbloquearAparelhoRedev1?wsdl
06/01/2017 15:45:39 ; SUCC ; 200 ; 4837 ; GET ; http://brux0338:9200/esb/services/ConsultarCartaoRecargav1?wsdl
06/01/2017 15:47:03 ; ERRO ; 500 ; 407236 ; GET ; http://brux0338:9200/esb/services/SolicitarNovaSenhaUsuarioExternov2?wsdl
06/01/2017 15:47:03 ; ERRO ; 500 ; 685433 ; GET ; http://brux0338:9200/esb/services/ListarDividasClienteGAMBRv1?wsdl
06/01/2017 15:47:03 ; ERRO ; 500 ; 91696 ; GET ; http://brux0338:9200/esb/services/RegistrarRespostasPesquisaSatisfacaoAssinantev1?wsdl
06/01/2017 15:47:03 ; ERRO ; 500 ; 583802 ; GET ; http://brux0338:9200/esb/services/ListarHistoricoChamadasAssinanteContaOnlinev1?wsdl
06/01/2017 15:47:04 ; ERRO ; 404 ; 841 ; GET ; http://brux0338:9200/esb/services/AtualizarSimcardv2?wsdl
06/01/2017 15:47:04 ; ERRO ; 404 ; 861 ; GET ; http://brux0338:9200/esb/services/ListarAvisosAtendimentov1?wsdl
06/01/2017 15:47:04 ; SUCC ; 200 ; 686383 ; GET ; http://brux0338:9200/esb/services/ListarOfertasDisponiveisv1?wsdl
06/01/2017 15:47:05 ; SUCC ; 200 ; 859 ; GET ; http://brux0338:9200/esb/services/ConsultarAcordoPagamentov1?wsdl
06/01/2017 15:48:06 ; ERRO ; 500 ; 154113 ; GET ; http://brux0338:9200/esb/services/NotificarAtualizacaoPortabilidadev1?wsdl
06/01/2017 15:48:06 ; ERRO ; 500 ; 154076 ; GET ; http://brux0338:9200/esb/services/TrocarDataVencimentoFaturamentoAccountv1?wsdl
06/01/2017 15:48:06 ; ERRO ; 500 ; 62496 ; GET ; http://brux0338:9200/esb/services/AtualizarProtocoloFaturamentov1?wsdl
06/01/2017 15:48:06 ; ERRO ; 500 ; 155184 ; GET ; http://brux0338:9200/esb/services/ListarHistoricoSolicitacaoCartaoClaroClubev1?wsdl
06/01/2017 15:48:06 ; ERRO ; 500 ; 147439 ; GET ; http://brux0338:9200/esb/services/CancelarPortabilidadev1?wsdl
06/01/2017 15:48:14 ; SUCC ; 200 ; 7826 ; GET ; http://brux0338:9200/esb/services/GerarOrdemVendav1?wsdl
06/01/2017 15:49:37 ; ERRO ; 500 ; 152439 ; GET ; http://brux0338:9200/esb/services/SolicitarGeracaoDocumentosDigitaisv1?wsdl
06/01/2017 15:49:37 ; ERRO ; 500 ; 90652 ; GET ; http://brux0338:9200/esb/services/ListarProdutosNegociadosv1?wsdl
06/01/2017 15:49:37 ; ERRO ; 500 ; 154174 ; GET ; http://brux0338:9200/esb/services/AjustarRecargaAssinantev1?wsdl
06/01/2017 15:49:37 ; ERRO ; 500 ; 244807 ; GET ; http://brux0338:9200/esb/services/ListarExtratoDetalhadoClaroClubev1?wsdl
06/01/2017 15:49:58 ; SUCC ; 200 ; 174880 ; GET ; http://brux0338:9200/esb/services/CalcularPlanoPrecov1?wsdl
06/01/2017 15:49:58 ; SUCC ; 200 ; 174128 ; GET ; http://brux0338:9200/esb/services/AtualizarDocumentoDigitalv1?wsdl
06/01/2017 15:50:02 ; SUCC ; 200 ; 115623 ; GET ; http://brux0338:9200/esb/services/ListarSimCardsv1?wsdl
06/01/2017 15:50:02 ; SUCC ; 200 ; 107843 ; GET ; http://brux0338:9200/esb/services/ConsultarLimitesAjusteCreditoAssinantev1?wsdl
06/01/2017 15:50:02 ; SUCC ; 200 ; 115685 ; GET ; http://brux0338:9200/esb/services/TrocarAssinantePromocaov1?wsdl
06/01/2017 15:50:02 ; SUCC ; 200 ; 115701 ; GET ; http://brux0338:9200/esb/services/ConsultarSurveyv1?wsdl
06/01/2017 15:50:04 ; SUCC ; 200 ; 27074 ; GET ; http://brux0338:9200/esb/services/VerificarElegibilidadeAvaliacaoComprav1?wsdl
06/01/2017 15:50:04 ; SUCC ; 200 ; 27176 ; GET ; http://brux0338:9200/esb/services/SolicitarPortabilidadev2?wsdl
06/01/2017 15:50:05 ; SUCC ; 200 ; 2967 ; GET ; http://brux0338:9200/esb/services/ListarTiposLogradourov1?wsdl
06/01/2017 15:50:05 ; SUCC ; 200 ; 893 ; GET ; http://brux0338:9200/esb/services/ListarBancosConveniadosDebitoAutomaticov1?wsdl
06/01/2017 15:50:07 ; SUCC ; 200 ; 1941 ; GET ; http://brux0338:9200/esb/services/ListarAssinantesGAMBRv1?wsdl
06/01/2017 15:50:08 ; SUCC ; 200 ; 834 ; GET ; http://brux0338:9200/esb/services/ListarDatasVencimentoFaturamentov1?wsdl
06/01/2017 15:51:48 ; ERRO ; 500 ; 106361 ; GET ; http://brux0338:9200/esb/services/GerarAvisoFaturamentoTransportadorav2?wsdl
06/01/2017 15:51:48 ; ERRO ; 500 ; 131312 ; GET ; http://brux0338:9200/esb/services/SolicitarRecargaAssinantev1?wsdl
06/01/2017 15:51:48 ; ERRO ; 500 ; 106312 ; GET ; http://brux0338:9200/esb/services/ListarMotivosAtendimentov1?wsdl
